4129537,9983,20160712,0.29409066
6949378,3429,20160706,0.11034765
2166529,6928,20160727,0.1960429
2166529,1808,20160727,0.2783991
6172162,6500,20160708,0.6203002
4005121,9983,20160706,0.39935803
4347394,9983,20160716,0.33087808
3094273,13602,20160727,0.19758233
5139970,9983,20160729,0.0788765
3237121,13602,20160703,0.29555377
6224386,9983,20160716,0.1457876
6488578,13602,20160712,0.9415935
4164865,9983,20160703,0.26828462
4164865,8059,20160706,0.12865949
5468674,9983,20160713,0.3061694
6258178,9144,20160706,0.35383242
3659521,7341,20160727,0.40431103
3659521,13181,20160717,0.7257018
3659521,13602,20160718,0.46202463
7333378,13602,20160704,0.41811267
7333378,785,20160727,0.8149136
4454914,2978,20160711,0.4804084
6817282,8375,20160724,0.28113604
3149569,10418,20160721,0.27825472
6301186,1715,20160718,0.6351757
6301186,4203,20160708,0.46335098
2891521,13602,20160724,0.44623542
3422977,13602,20160727,0.6232508
4771330,13602,20160726,0.051532492
4513282,11799,20160712,0.14184558
3439873,13602,20160713,0.4767934
6632962,13602,20160727,0.5872355
6632962,10438,20160705,0.12557286
6912514,9934,20160724,0.81742066
2821891,10418,20160702,0.22966355
3872515,10418,20160704,0.3330003
3872515,2978,20160704,0.4636665
2699011,13602,20160705,0.9382718
5406214,3903,20160722,0.41242105
5406214,2440,20160722,0.48348206
3359491,10418,20160725,0.18549304
4147459,5743,20160715,0.6897548
5427718,4912,20160704,0.53006
5427718,662,20160704,0.6062141
5427718,1528,20160704,0.55886376
2848003,13602,20160702,0.2160537
2726659,10842,20160724,0.9087906
3649795,2978,20160723,0.5055992
3649795,10418,20160701,0.6615441
2612995,9983,20160703,0.13190848
3808003,9983,20160721,0.10706789
3812611,3992,20160721,0.4711434
3425539,3992,20160719,0.496484
6853126,13181,20160721,0.5710552
4251142,10609,20160707,0.8235837
3442435,13602,20160713,0.47414455
3182851,11986,20160731,0.51530814
7175686,7774,20160706,0.86590123
7175686,9983,20160717,0.54711974
3199747,8059,20160712,0.2755716
3199747,3429,20160718,0.12175266
6140422,6480,20160728,0.84038734
4001029,13602,20160704,0.28900945
3873541,2978,20160718,0.369732
4603402,5482,20160723,0.5779984
6443530,13602,20160722,0.46118456
3627781,10418,20160713,0.24648987
4913674,8059,20160712,0.093478665
3506437,13602,20160719,0.53114617
2196229,6614,20160717,0.24653153
2329861,13849,20160724,0.83061963
3514117,9967,20160706,0.06617123
5733898,13183,20160705,0.78991693
2480389,2978,20160703,0.907905
3928837,1904,20160722,0.6249877
3017989,13602,20160730,0.1753036
3017989,9983,20160704,0.29935384
5776906,13602,20160706,0.469087
6332938,13602,20160724,0.42561743
5568010,8596,20160722,0.3518712
2398981,13602,20160722,0.28436306
3208453,10418,20160713,0.10434286
7205386,13602,20160729,0.342464
4866574,13602,20160723,0.6222955
4866574,9983,20160725,0.2751205
5394958,2601,20160712,0.17998014
6445582,13602,20160713,0.4767934
3748615,13602,20160709,0.41292062
3748615,11184,20160703,0.42496058
5941774,9983,20160711,0.11919686
2842375,3429,20160725,0.11217715
2324743,10418,20160701,0.29538298
6491662,4654,20160717,0.6163786
3644167,11463,20160710,0.5293327
3644167,11463,20160706,0.729737
3644167,11463,20160708,0.5445148
3644167,11463,20160711,0.49372825
3644167,11463,20160713,0.28829983
2862343,3004,20160712,0.6906595
2862343,2070,20160721,0.56736404
2862343,7821,20160721,0.4850489
2862343,14,20160731,0.7172816
4676110,9983,20160727,0.08061142
3135751,3992,20160724,0.35409933
4054279,9983,20160729,0.3629608
4192519,13602,20160723,0.1600208
2363143,3780,20160703,0.42109346
2363143,13161,20160703,0.59669036
2363143,2978,20160724,0.6380819
2363143,10438,20160729,0.309423
